,businessLicenseNumber,businessPerson,certStr,epsAddress,epsName,epsProductAddress,isimport,legalPerson,processid,productSn,qfManagerName,qualityPerson,rcManagerDepartName,rcManagerUser,xkDate,xkDateStr,xkName,xkType
0,91210303085301194R,葛树发,一般液态单元；膏霜乳液单元,辽宁省鞍山市铁西区四方台路159栋3层S13号,辽宁婵泉生物药业有限公司,辽宁省鞍山市铁西区四方台路159栋3层S13号,N,葛树发,20210908124237202a8kjh,辽妆20170004,辽宁省药品监督管理局,高振林,辽宁省药品监督管理局,辽宁省药品监督管理局稽查三处,2027-05-01,2022-05-02,潘勇,202
1,91320804762415042U,李林,牙膏单元（牙膏类）,淮安市淮阴区翔宇北道615号,淮安纵横生物科技有限公司淮阴分公司,淮安市淮阴区翔宇北道615号,N,李林,20220221160527202ekrsk,苏妆20160095,江苏省药品监督管理局,笪成柱,江苏省药品监督管理局淮安检查分局,王军、刘玲,2027-04-14,2022-04-14,申如龙,202
2,91510800MA6252RJXF,王茜,一般液态单元,广元经济技术开发区盘龙医药园区,四川珈峻生物科技有限公司,广元经济技术开发区盘龙医药园区,N,王茜,20220219082006202wc57y,川妆20170004,四川省药品监督管理局,李学培,四川省药品监督管理局,职能处室相关人员,2027-04-09,2022-04-10,蒲素,202
3,91440507MA55Y3FH9D,张浩春,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,汕头市龙湖区练江中路工业大厦H13幢五层之一,广东依欧好化妆品有限公司,汕头市龙湖区练江中路工业大厦H13幢五层,Y,蔡宏辉,,粤妆20220116,广东省药品监督管理局,胡晓鹏,汕头市龙湖区市场监督管理局,日常监管机构指定,2027-03-30,2022-03-31,苏盛锋,201
4,91440101MA5AQTQG23,汪新峰,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区嘉禾街望岗第十六经济社百花岭工业园A栋厂房五、六楼,广州汉婷化妆品有限公司,广州市白云区嘉禾街望岗第十六经济社百花岭工业园A栋厂房五、六楼,Y,汪新峰,,粤妆20180151,广东省药品监督管理局,李明照,白云区局嘉禾食品药品监督管理所,日常监管机构指定,2023-07-02,2022-03-31,苏盛锋,206
5,91440111749927094G,陈启杰,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；气雾剂及有机溶剂单元（有机溶剂类）,广州市白云区神山工业园,广州市葵花化妆品有限公司,"广州市白云区江高镇振兴北路39号2栋101,4栋101",Y,陈启杰,,粤妆20161483,广东省药品监督管理局,夏波,白云区局江高食品药品监督管理所,日常监管机构指定,2026-08-12,2022-03-31,苏盛锋,206
6,914405136179982888,张创雄,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,汕头市潮阳区铜盂河陇村,汕头市靓美化妆品有限公司,汕头市潮阳区铜盂河陇村,Y,张创雄,,粤妆20161266,广东省药品监督管理局,张佳煌,汕头市潮阳区市场监督管理局,日常监管机构指定,2026-08-24,2022-03-31,苏盛锋,206
7,91320507750508436U,,一般液态单元；膏霜乳液单元；气雾剂及有机溶剂单元；牙膏单元,苏州相城经济开发区,苏州瑞雪化妆品有限公司,苏州相城经济开发区华元路9号,N,贾小龙,2022032411361120619fuv,苏妆20160203,江苏省药品监督管理局,陈克新,江苏省药品监督管理局（苏州分局）,江苏省药品监督管理局（苏州分局）,2026-12-15,2022-03-31,钱玲,206
8,91510521MA66RB6N7P,廖军,一般液态单元；膏霜乳液单元,四川省泸州市泸县玉蟾街道青龙街6号3栋（泸州国家高新区医药产业园内）,四川挽卿丝日化有限公司,四川省泸州市泸县玉蟾街道青龙街6号3栋（泸州国家高新区医药产业园内）,N,施正群,202203311033372060x620,川妆20190007,四川省药品监督管理局,陈雨,四川省药品监督管理局,职能处室相关人员,2024-11-24,2022-03-31,蒲素,206
9,91440101MA9Y8M112D,张名娣,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市白云区龙归街南岭南业五横路16号101房,广州玖阳医药科技有限公司,广州市白云区龙归街南岭南业五横路16号3楼、4楼,Y,张名娣,,粤妆20220114,广东省药品监督管理局,曹胜利,/,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,201
